"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1977","Steve Garvey","LAD","162","696","33","91","115","9",".201",".302",".297",".335",".498",".360","122","-0.2","18.3","-3.7","3.8","192","131","25","3","38","10","90","1","4","7","15","9","6",".360","20.0","101","1004557","114641"
"1980","Dave Winfield","SDP","162","643","20","89","87","23",".174",".292",".276",".365",".450",".360","133","1.7","25.5","-12.1","3.6","154","103","25","6","79","14","83","2","4","0","13","23","7",".360","19.6","92","1014127","124448"
"1890","Marty Sullivan","BSN","121","561","6","82","61","33",".101",".306",".285",".357",".386",".360","108","0.1","7.0","0.6","2.5","144","112","19","7","56","","48","0","","","","33","",".360","10.7","97","1012705","122959"
"1942","Cool Papa Bell","CAG","26","110","0","14","7","0",".082","",".296",".373",".378",".360","134","-0.1","3.7","-0.5","0.6","29","23","4","2","12","","","","","2","","0","",".360","3.0","15","1014588",""
"1974","Cesar Cedeno","HOU","160","688","26","95","102","57",".192",".282",".269",".338",".461",".360","126","5.1","25.1","6.1","5.6","164","104","29","5","64","6","103","4","8","2","9","57","17",".360","21.3","95","1002100","112153"
"1993","Kirby Puckett","MIN","156","682","22","89","89","8",".178",".316",".296",".349",".474",".360","117","-0.7","13.6","-32.6","0.3","184","120","39","3","47","7","93","7","5","1","15","8","6",".360","18.2","100","1010557","120790"
"1909","Johnny Bates","- - -","140","580","2","70","38","37",".080","",".291",".360",".371",".360","121","2.9","16.0","-8.0","3.2","146","114","26","4","48","","","6","","24","","37","",".360","19.9","76","1000662","110678"
"2012","Albert Pujols","LAA","154","670","30","85","105","8",".231",".282",".285",".343",".516",".360","133","-7.7","18.4","-9.4","3.3","173","93","50","0","52","16","76","5","6","0","19","8","1",".360","24.0","101","1177","405395"
"1912","Duffy Lewis","BOS","154","667","6","85","109","9",".124","",".284",".346",".408",".360","114","-2.7","9.0","-3.6","2.8","165","114","36","9","52","","","3","","31","","9","",".360","11.5","91","1007579","117734"
"2018","Giancarlo Stanton","NYY","158","705","38","102","100","5",".243",".333",".266",".343",".509",".360","128","-0.1","23.8","-7.1","4.2","164","91","34","1","70","5","211","8","10","0","17","5","0",".360","25.9","108","4949","519317"
"1996","Marquis Grissom","ATL","158","723","23","106","74","28",".180",".318",".308",".349",".489",".360","117","0.5","16.4","9.4","4.6","207","142","32","10","41","6","73","3","4","4","12","28","11",".360","15.0","108","652","115174"
"2005","Marcus Giles","ATL","152","654","15","104","63","16",".170",".334",".291",".365",".461",".360","119","3.5","19.1","11.0","5.2","168","104","45","4","64","1","108","5","4","4","13","16","3",".360","18.3","97","89","279578"
"2010","Daric Barton","OAK","159","686","10","79","57","7",".131",".316",".273",".393",".405",".360","126","2.3","23.7","0.4","5.0","152","104","33","5","110","2","102","3","5","12","8","7","3",".360","21.2","100","5928","435558"
"1955","Wally Moon","STL","152","645","19","86","76","11",".164",".306",".295",".349",".459",".360","113","-1.7","8.8","-7.3","2.0","175","124","24","8","47","4","65","3","1","1","11","11","11",".360","16.7","92","1009085","119279"
"1991","Larry Walker","MON","137","539","16","59","64","14",".168",".335",".290",".349",".458",".360","129","-0.8","17.1","1.7","3.8","141","93","30","2","42","2","102","5","4","1","7","14","9",".360","17.3","78","455","123833"
"1873","Wes Fisler","PHN","44","220","1","44","42","2",".101",".344",".344",".350",".445",".360","119","0.2","8.9","4.6","1.6","75","59","11","4","2","","2","","","","","2","1",".360","12.1","58","1004103","114184"
"1955","Johnny Logan","MIL","154","680","13","95","83","3",".145",".309",".297",".360",".442",".360","121","0.0","17.8","20.5","5.8","177","122","37","5","58","1","58","4","7","16","12","3","3",".360","17.6","97","1007705","117867"
"2011","Andrew McCutchen","PIT","158","678","23","87","89","23",".198",".291",".259",".364",".456",".360","130","1.6","25.0","5.6","5.4","148","86","34","5","89","3","126","9","6","2","7","23","10",".360","23.4","100","9847","457705"
"1881","King Kelly","CHI","82","369","2","84","55","",".110",".332",".323",".352",".433",".360","132","0.0","16.4","-0.5","2.8","114","82","27","3","16","","14","","","","","","",".360","19.5","69","1006806","116953"
"1999","Mike Cameron","CIN","146","636","21","93","66","38",".212",".311",".256",".357",".469",".360","107","2.2","7.9","26.2","5.3","139","75","34","9","80","2","145","6","3","5","4","38","12",".360","10.4","93","1070","111904"
"1922","George Burns","BOS","147","602","12","71","73","8",".140",".307",".306",".341",".446",".360","102","1.2","2.6","-4.0","1.9","171","122","32","5","20","","28","9","","15","","8","2",".360","6.2","84","1001709","111746"
"1876","Deacon White","CHI","66","310","1","66","60","",".076",".344",".343",".358",".419",".360","137","0.0","17.2","11.7","3.6","104","84","18","1","7","","3","","","","","","",".360","19.7","66","1013860","124175"
"1937","Buster Mills","BOS","123","566","7","85","58","11",".123",".311",".295",".361",".418",".360","93","-2.0","-8.2","-8.0","0.5","149","109","25","8","46","","41","6","","9","","11","8",".360","7.9","82","1008953","119145"
"1984","Terry Puhl","HOU","132","519","9","66","55","13",".134",".316",".301",".380",".434",".360","132","-0.6","18.2","-12.6","2.4","135","100","19","7","59","12","45","1","4","6","5","13","8",".360","16.8","75","1010562","120795"
"1928","Crush Holloway","BBS","60","271","2","44","33","9",".120","",".301",".358",".422",".360","99","1.4","0.9","-3.6","0.7","75","53","16","4","22","","","0","","10","","9","",".360","3.7","38","1015466",""
"2020","Jeff McNeil","NYM","52","209","4","19","23","0",".142",".335",".311",".383",".454",".360","131","-2.5","5.8","1.2","1.2","57","39","14","0","20","2","24","3","3","0","3","0","2",".360","7.0","33","15362","643446"
"1979","Gary Carter","MON","140","559","22","74","75","3",".202",".283",".283",".338",".485",".360","124","0.0","16.0","23.3","5.9","143","90","26","5","40","3","62","5","7","2","11","3","2",".360","15.7","81","1002015","112061"
"1997","Reggie Jefferson","BOS","136","524","13","74","67","1",".151",".370",".319",".358",".470",".360","112","-0.6","7.6","-14.4","1.1","156","109","33","1","24","5","93","7","3","1","17","1","2",".360","11.9","76","1006381","116515"
"1996","John Valentin","BOS","131","606","13","84","59","9",".140",".310",".296",".374",".436",".360","106","-2.9","2.4","4.4","2.8","156","111","29","3","63","0","59","7","7","2","15","9","10",".360","12.5","91","1375","123608"
"1967","Pete Rose","CIN","148","647","12","86","76","11",".144",".322",".301",".364",".444",".360","125","0.4","18.0","-4.9","3.9","176","124","32","8","56","9","66","3","2","1","9","11","6",".360","28.3","93","1011217","121454"
"1962","Rich Rollins","MIN","159","721","16","96","96","3",".130",".306",".298",".374",".428",".360","115","0.3","14.0","3.9","4.0","186","142","23","5","75","2","61","6","9","7","13","3","1",".360","21.6","105","1011162","121413"
"2008","Derrek Lee","CHC","155","698","20","93","90","8",".172",".330",".291",".361",".462",".360","111","-2.2","7.8","-5.9","2.4","181","117","41","3","71","3","119","0","4","0","27","8","2",".360","18.0","102","525","117601"
"2001","Jeff Conine","BAL","139","601","14","75","97","12",".132",".336",".311",".386",".443",".360","124","-1.1","16.8","-10.3","2.7","163","124","23","2","64","6","75","5","8","0","12","12","8",".360","16.5","91","131","112559"
"1946","Buddy Blattner","NYG","126","488","11","63","49","12",".150",".269",".255",".351",".405",".360","112","1.9","8.9","2.9","2.8","107","72","18","6","56","","52","6","","6","6","12","",".360","10.9","64","1001061","111089"
"2009","Yunel Escobar","ATL","141","604","14","89","76","5",".136",".317",".299",".377",".436",".360","120","-2.5","12.0","7.8","3.9","158","116","26","2","57","3","62","10","2","7","21","5","4",".360","15.4","88","4191","488862"
"1971","Nate Colbert","SDP","156","639","27","81","84","5",".198",".288",".264",".339",".462",".360","130","0.4","21.7","-11.3","3.5","149","94","25","3","63","6","119","4","5","2","17","5","2",".360","23.0","89","1002407","112458"
"1997","Darin Erstad","ANA","139","605","16","99","77","23",".167",".327",".299",".360",".466",".360","115","1.2","12.5","-5.4","2.8","161","107","34","4","51","4","86","4","6","5","5","23","8",".360","13.7","88","11","113889"
"1933","Larry Brown","CAG","35","130","0","18","18","2",".070","",".304",".385",".374",".360","112","0.3","2.2","-0.9","0.6","35","29","4","2","13","","","2","","6","","2","",".360","3.0","18","1014718",""
"1988","Kevin Seitzer","KCR","149","643","5","90","60","10",".102",".335",".304",".388",".406",".360","125","-1.7","17.2","0.8","4.2","170","128","32","5","72","4","64","6","3","3","15","10","8",".360","23.1","93","1011730","121983"
"2007","Orlando Hudson","ARI","139","601","10","69","63","10",".147",".333",".294",".376",".441",".359","108","0.1","6.6","-0.2","2.6","152","105","28","9","70","1","87","2","7","5","21","10","2",".359","14.3","89","1307","407861"
"1985","Lou Whitaker","DET","152","701","21","102","73","6",".177",".277",".279",".362",".456",".359","125","-0.6","20.2","1.5","4.7","170","112","29","8","80","9","56","2","5","5","3","6","4",".359","23.0","103","1013846","124154"
"1992","Carlos Baerga","CLE","161","716","20","92","105","10",".143",".325",".312",".354",".455",".359","125","1.0","20.9","7.9","5.5","205","152","32","1","35","10","76","13","9","2","15","10","2",".359","23.0","100","175","110427"
"1988","Cal Ripken","BAL","161","689","23","87","81","2",".167",".262",".264",".372",".431",".359","127","-1.0","20.4","2.7","5.0","152","103","25","1","102","7","69","2","10","0","10","2","2",".359","24.8","100","1010978","121222"
"1989","Mike Greenwell","BOS","145","641","14","87","95","13",".135",".313",".308",".370",".443",".359","122","0.4","16.6","-5.9","3.4","178","128","36","0","56","15","44","3","4","0","21","13","5",".359","22.3","92","1005006","115108"
"1957","Del Ennis","STL","136","537","24","61","105","1",".208",".274",".286",".332",".494",".359","116","-0.6","9.8","-27.9","-0.1","140","89","24","3","37","3","50","1","8","1","22","1","3",".359","17.0","77","1003786","113857"
"2009","Brian McCann","ATL","138","551","21","63","94","4",".205",".297",".281",".349",".486",".359","119","-4.9","8.3","36.9","6.3","137","80","35","1","49","3","83","5","6","3","17","4","1",".359","14.0","80","4810","435263"
"1887","Bid McPhee","CIN","129","600","2","137","87","95",".119","",".289",".360",".407",".359","109","8.9","17.7","13.4","4.9","156","115","20","19","55","","","5","","","","95","",".359","14.6","113","1008675","118860"
"2009","Dustin Pedroia","BOS","154","714","15","115","72","20",".152",".297",".296",".371",".447",".359","112","0.6","11.1","10.7","4.7","185","121","48","1","74","3","45","5","6","3","19","20","8",".359","18.2","104","8370","456030"
"1962","Frank Thomas","NYM","156","633","34","69","94","2",".229",".263",".266",".329",".496",".359","113","0.1","10.6","-12.0","2.1","152","92","23","3","48","4","95","8","6","0","15","2","1",".359","18.9","92","1012976","123246"
"1985","Keith Moreland","CHC","161","667","14","74","106","12",".133",".317",".307",".374",".440",".359","122","1.0","17.7","-21.8","1.9","180","133","30","3","68","7","58","1","9","2","14","12","3",".359","21.9","98","1009161","119355"
"1914","Miller Huggins","STL","148","635","1","85","24","32",".055",".299",".263",".396",".318",".359","120","3.8","17.7","6.0","4.6","134","112","17","4","105","","63","7","","14","","32","",".359","16.7","83","1006148","116275"
"1937","Eric McNair","BOS","126","493","12","60","76","10",".160",".295",".292",".340",".453",".359","93","-1.6","-7.0","-2.1","0.9","133","88","29","4","30","","33","3","","5","","10","7",".359","6.8","71","1008654","118840"
"2004","Victor Martinez","CLE","141","591","23","77","108","0",".210",".286",".283",".359",".492",".359","119","-6.1","8.4","5.7","3.3","147","85","38","1","60","11","69","5","6","0","16","0","1",".359","14.7","88","393","400121"
"1936","Jo-Jo Moore","NYG","152","695","7","110","63","2",".105",".322",".316",".358",".421",".359","112","-0.1","10.4","-2.4","3.0","205","160","29","9","37","","27","6","","3","3","2","",".359","5.5","99","1009117","119307"
"1938","Cookie Lavagetto","BRO","137","562","6","68","79","15",".131",".282",".273",".364",".405",".359","110","2.5","9.5","-6.4","1.9","133","87","34","6","68","","31","2","","5","12","15","",".359","8.1","81","1007386","117542"
"1934","Billy Rogell","DET","154","679","3","114","100","13",".096",".311",".296",".374",".392",".359","101","0.7","1.6","22.5","4.8","175","132","32","8","74","","36","0","","13","","13","3",".359","10.2","96","1011128","121379"
"2009","Denard Span","MIN","145","676","8","97","68","23",".104",".353",".311",".392",".415",".359","118","7.5","22.6","-5.0","4.1","180","146","16","10","70","3","89","10","6","12","7","23","10",".359","17.2","98","8347","452655"
"1940","Billy Werber","CIN","143","663","12","105","48","16",".139",".282",".277",".361",".416",".359","116","2.6","16.2","10.0","4.7","162","110","35","5","68","","40","8","","3","7","16","",".359","13.4","95","1013783","124091"
"1986","Cal Ripken","BAL","162","707","25","98","81","4",".179",".277",".282",".355",".461",".359","123","0.0","19.3","24.9","6.9","177","116","35","1","70","5","60","4","6","0","19","4","2",".359","21.8","103","1010978","121222"
"1950","Richie Ashburn","PHI","151","670","2","84","41","14",".099",".318",".303",".372",".402",".359","108","2.6","9.3","3.1","3.3","180","139","25","14","63","","32","2","","11","11","14","",".359","7.3","91","1000335","110349"
"2004","Michael Young","TEX","160","739","22","114","99","12",".170",".333",".313",".353",".483",".359","110","5.3","14.6","-11.6","2.7","216","152","33","9","44","1","89","1","4","0","11","12","3",".359","18.3","110","1286","276545"
"1949","Joe Gordon","CLE","148","632","20","74","84","5",".155",".238",".251",".355",".407",".359","106","-1.7","3.1","20.3","4.5","136","95","18","3","83","","33","4","","4","20","5","6",".359","7.8","83","1004874","114967"
"1943","Henry Spearman","PS","48","208","0","35","29","2",".136","",".283",".341",".419",".359","101","0.2","0.4","-1.0","0.8","54","34","14","6","17","","","0","0","2","","2","",".359","5.2","28","1016467",""
"2001","Jose Cruz","TOR","146","627","34","92","88","32",".256",".305",".274",".326",".530",".359","118","4.2","18.1","-20.5","1.9","158","82","38","4","45","4","138","1","2","2","8","32","5",".359","17.1","95","1296","112903"
"1904","Danny Murphy","PHA","150","594","7","78","77","22",".153","",".287",".320",".440",".359","132","1.1","21.1","3.0","4.9","160","106","30","17","22","","","5","","10","","22","",".359","23.3","84","1009352","119546"
"1937","Gus Suhr","PIT","151","667","5","69","97","2",".123",".294",".278",".369",".402",".359","111","-0.3","9.3","-1.5","3.0","160","113","28","14","83","","42","0","","9","9","2","",".359","9.2","96","1012674","122932"
